"","game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks","home_team_wins"
"1","201610250CLE",2016-10-25,"7:30p","New York Knicks",88,"Cleveland Cavaliers",117,"",20562,"",1
"2","201610250POR",2016-10-25,"10:00p","Utah Jazz",104,"Portland Trail Blazers",113,"",19446,"",1
"3","201610250GSW",2016-10-25,"10:30p","San Antonio Spurs",129,"Golden State Warriors",100,"",19596,"",0
"4","201610260IND",2016-10-26,"7:00p","Dallas Mavericks",121,"Indiana Pacers",130,"OT",17923,"",1
"5","201610260ORL",2016-10-26,"7:00p","Miami Heat",108,"Orlando Magic",96,"",19298,"",0
"6","201610260TOR",2016-10-26,"7:30p","Detroit Pistons",91,"Toronto Raptors",109,"",19800,"",1
"7","201610260BOS",2016-10-26,"7:30p","Brooklyn Nets",117,"Boston Celtics",122,"",18624,"",1
"8","201610260MIL",2016-10-26,"8:00p","Charlotte Hornets",107,"Milwaukee Bucks",96,"",18717,"",0
"9","201610260NOP",2016-10-26,"8:00p","Denver Nuggets",107,"New Orleans Pelicans",102,"",15869,"",0
"10","201610260MEM",2016-10-26,"8:00p","Minnesota Timberwolves",98,"Memphis Grizzlies",102,"",18119,"",1
"11","201610260PHI",2016-10-26,"8:00p","Oklahoma City Thunder",103,"Philadelphia 76ers",97,"",20487,"",0
"12","201610260PHO",2016-10-26,"10:00p","Sacramento Kings",113,"Phoenix Suns",94,"",18055,"",0
"13","201610260LAL",2016-10-26,"10:30p","Houston Rockets",114,"Los Angeles Lakers",120,"",18997,"",1
"14","201610270ATL",2016-10-27,"7:30p","Washington Wizards",99,"Atlanta Hawks",114,"",19049,"",1
"15","201610270CHI",2016-10-27,"8:00p","Boston Celtics",99,"Chicago Bulls",105,"",21501,"",1
"16","201610270POR",2016-10-27,"10:30p","Los Angeles Clippers",114,"Portland Trail Blazers",106,"",19500,"",0
"17","201610270SAC",2016-10-27,"10:30p","San Antonio Spurs",102,"Sacramento Kings",94,"",17608,"",0
"18","201610280TOR",2016-10-28,"7:00p","Cleveland Cavaliers",94,"Toronto Raptors",91,"",19800,"",0
"19","201610280BRK",2016-10-28,"7:30p","Indiana Pacers",94,"Brooklyn Nets",103,"",17732,"",1
"20","201610280DET",2016-10-28,"7:30p","Orlando Magic",82,"Detroit Pistons",108,"",19122,"",1
"21","201610280OKC",2016-10-28,"8:00p","Phoenix Suns",110,"Oklahoma City Thunder",113,"OT",18203,"",1
"22","201610280MIA",2016-10-28,"8:00p","Charlotte Hornets",97,"Miami Heat",91,"",19600,"",0
"23","201610280DAL",2016-10-28,"8:30p","Houston Rockets",106,"Dallas Mavericks",98,"",20163,"",0
"24","201610280UTA",2016-10-28,"9:00p","Los Angeles Lakers",89,"Utah Jazz",96,"",19911,"",1
"25","201610280NOP",2016-10-28,"9:30p","Golden State Warriors",122,"New Orleans Pelicans",114,"",18217,"",0
"26","201610290PHI",2016-10-29,"12:30p","Atlanta Hawks",104,"Philadelphia 76ers",72,"",16312,"",0
"27","201610290CHO",2016-10-29,"7:00p","Boston Celtics",104,"Charlotte Hornets",98,"",18708,"",0
"28","201610290CLE",2016-10-29,"7:30p","Orlando Magic",99,"Cleveland Cavaliers",105,"",20562,"",1
"29","201610290NYK",2016-10-29,"7:30p","Memphis Grizzlies",104,"New York Knicks",111,"",19812,"",1
"30","201610290SAS",2016-10-29,"8:00p","New Orleans Pelicans",79,"San Antonio Spurs",98,"",18418,"",1
"31","201610290MIL",2016-10-29,"8:00p","Brooklyn Nets",108,"Milwaukee Bucks",110,"",12570,"",1
"32","201610290CHI",2016-10-29,"8:00p","Indiana Pacers",101,"Chicago Bulls",118,"",21373,"",1
"33","201610290DEN",2016-10-29,"9:00p","Portland Trail Blazers",115,"Denver Nuggets",113,"OT",18055,"",0
"34","201610290SAC",2016-10-29,"10:30p","Minnesota Timberwolves",103,"Sacramento Kings",106,"",17608,"",1
"35","201610300LAC",2016-10-30,"4:30p","Utah Jazz",75,"Los Angeles Clippers",88,"",19060,"",1
"36","201610300DET",2016-10-30,"6:00p","Milwaukee Bucks",83,"Detroit Pistons",98,"",15161,"",1
"37","201610300MIA",2016-10-30,"6:00p","San Antonio Spurs",106,"Miami Heat",99,"",19678,"",0
"38","201610300PHO",2016-10-30,"6:00p","Golden State Warriors",106,"Phoenix Suns",100,"",17011,"",0
"39","201610300OKC",2016-10-30,"7:00p","Los Angeles Lakers",96,"Oklahoma City Thunder",113,"",18203,"",1
"40","201610300HOU",2016-10-30,"8:00p","Dallas Mavericks",92,"Houston Rockets",93,"",18055,"",1
"41","201610300MEM",2016-10-30,"8:00p","Washington Wizards",103,"Memphis Grizzlies",112,"OT",15573,"",1
"42","201610310ATL",2016-10-31,"7:30p","Sacramento Kings",95,"Atlanta Hawks",106,"",12501,"",1
"43","201610310BRK",2016-10-31,"7:30p","Chicago Bulls",118,"Brooklyn Nets",88,"",15842,"",0
"44","201610310TOR",2016-10-31,"7:30p","Denver Nuggets",102,"Toronto Raptors",105,"",19800,"",1
"45","201610310LAC",2016-10-31,"10:30p","Phoenix Suns",98,"Los Angeles Clippers",116,"",19060,"",1
"46","201611010CLE",2016-11-01,"6:00p","Houston Rockets",120,"Cleveland Cavaliers",128,"",20562,"",1
"47","201611010IND",2016-11-01,"7:00p","Los Angeles Lakers",108,"Indiana Pacers",115,"",15348,"",1
"48","201611010PHI",2016-11-01,"7:00p","Orlando Magic",103,"Philadelphia 76ers",101,"",12529,"",0
"49","201611010DET",2016-11-01,"7:30p","New York Knicks",89,"Detroit Pistons",102,"",13087,"",1
"50","201611010MIA",2016-11-01,"7:30p","Sacramento Kings",96,"Miami Heat",108,"OT",19612,"",1
"51","201611010MIN",2016-11-01,"8:00p","Memphis Grizzlies",80,"Minnesota Timberwolves",116,"",14774,"",1
"52","201611010NOP",2016-11-01,"8:00p","Milwaukee Bucks",117,"New Orleans Pelicans",113,"",15515,"",0
"53","201611010SAS",2016-11-01,"8:30p","Utah Jazz",106,"San Antonio Spurs",91,"",18418,"",0
"54","201611010POR",2016-11-01,"10:00p","Golden State Warriors",127,"Portland Trail Blazers",104,"",19393,"",0
"55","201611020CHO",2016-11-02,"7:00p","Philadelphia 76ers",93,"Charlotte Hornets",109,"",15275,"",1
"56","201611020WAS",2016-11-02,"7:00p","Toronto Raptors",113,"Washington Wizards",103,"",19581,"",0
"57","201611020ATL",2016-11-02,"7:30p","Los Angeles Lakers",123,"Atlanta Hawks",116,"",13800,"",0
"58","201611020BRK",2016-11-02,"7:30p","Detroit Pistons",101,"Brooklyn Nets",109,"",13650,"",1
"59","201611020NYK",2016-11-02,"7:30p","Houston Rockets",118,"New York Knicks",99,"",19812,"",0
"60","201611020BOS",2016-11-02,"8:00p","Chicago Bulls",100,"Boston Celtics",107,"",18624,"",1
"61","201611020MEM",2016-11-02,"8:00p","New Orleans Pelicans",83,"Memphis Grizzlies",89,"OT",15881,"",1
"62","201611020UTA",2016-11-02,"9:00p","Dallas Mavericks",81,"Utah Jazz",97,"",19318,"",1
"63","201611020PHO",2016-11-02,"10:00p","Portland Trail Blazers",115,"Phoenix Suns",118,"OT",17284,"",1
"64","201611020LAC",2016-11-02,"10:30p","Oklahoma City Thunder",85,"Los Angeles Clippers",83,"",19060,"",0
"65","201611030ORL",2016-11-03,"7:00p","Sacramento Kings",94,"Orlando Magic",102,"",17026,"",1
"66","201611030CLE",2016-11-03,"8:00p","Boston Celtics",122,"Cleveland Cavaliers",128,"",20562,"",1
"67","201611030MIL",2016-11-03,"8:00p","Indiana Pacers",107,"Milwaukee Bucks",125,"",11374,"",1
"68","201611030MIN",2016-11-03,"8:00p","Denver Nuggets",102,"Minnesota Timberwolves",99,"",11219,"",0
